stratum,years,no_of_years,species,percent_change_yr_density,lcl95_d,ucl95_d,f_density_trend,no_of_detections,percent_change_yr_occupancy,lcl95_occ,ucl95_occ,f_occupancy_trend,no_of_points,start_year,end_year,n_years_verify,stratum_name,stratum_short_code,order,d_t,d_n_p,o_t,o_t_p,narrative_single
SD-BCR17: Badlands and Prairies in South Dakota,2009-2023,15,Canada Jay,-10.25200789,-16.91,-3.59,0.99787234000000002,220,-6.252191914,-13.19,0.77,0.978,165,2009,2023,15,Badlands and Prairies in South Dakota,SD-BCR17,3,-10.25,estimated a decreasing,-6.25,estimated a decreasing,"Badlands and Prairies in South Dakota (SD-BCR17) estimated a decreasing median density population trend of -10.25% [95% CL -16.91%, -3.59%, (n=220, f=0.998)] per year and estimated a decreasing median occupancy trend of -6.25% [95% CL -13.19%, 0.77%, (n=165, f=1)] per year from 2009 to 2023"
NE-BCR18: Shortgrass Prairie Region in Nebraska,2016-2021,6,Cassin's Kingbird,-78.888624519999993,-90.27,-60.3,1,24,-77.44582081,-89.2,-63.04,1,11,2016,2021,6,Shortgrass Prairie Region in Nebraska,NE-BCR18,3,-78.89,estimated a decreasing,-77.45,estimated a decreasing,"Shortgrass Prairie Region in Nebraska (NE-BCR18) estimated a decreasing median density population trend of -78.89% [95% CL -90.27%, -60.3%, (n=24, f=1)] per year and estimated a decreasing median occupancy trend of -77.45% [95% CL -89.2%, -63.04%, (n=11, f=1)] per year from 2016 to 2021"
NE-BCR18: Shortgrass Prairie Region in Nebraska,2016-2021,6,Canada Goose,13.966549280000001,-33.84,111.38,0.67938931300000005,6,9.872875902,-31.48,76.27,0.66,8,2016,2021,6,Shortgrass Prairie Region in Nebraska,NE-BCR18,3,13.97,estimated an uncertain,9.87,estimated an uncertain,"Shortgrass Prairie Region in Nebraska (NE-BCR18) estimated an uncertain median density population trend of 13.97% [95% CL -33.84%, 111.38%, (n=6, f=0.679)] per year and estimated an uncertain median occupancy trend of 9.87% [95% CL -31.48%, 76.27%, (n=8, f=1)] per year from 2016 to 2021"
SD-BCR17: Badlands and Prairies in South Dakota,2009-2023,15,Canada Goose,-2.6076191909999999,-11.47,6.96,0.77862595400000001,215,0.325774222,-9.32,8.59,0.564,210,2009,2023,15,Badlands and Prairies in South Dakota,SD-BCR17,3,-2.61,estimated an uncertain,0.33,estimated an uncertain,"Badlands and Prairies in South Dakota (SD-BCR17) estimated an uncertain median density population trend of -2.61% [95% CL -11.47%, 6.96%, (n=215, f=0.779)] per year and estimated an uncertain median occupancy trend of 0.33% [95% CL -9.32%, 8.59%, (n=210, f=1)] per year from 2009 to 2023"
SD-BCR17: Badlands and Prairies in South Dakota,2013-2023,11,Canvasback,4.9341481140000001,-15.1,32.39,0.65090909100000005,10,3.30218619,-15.21,26.09,0.595,8,2013,2023,11,Badlands and Prairies in South Dakota,SD-BCR17,3,4.93,estimated an uncertain,3.3,estimated an uncertain,"Badlands and Prairies in South Dakota (SD-BCR17) estimated an uncertain median density population trend of 4.93% [95% CL -15.1%, 32.39%, (n=10, f=0.651)] per year and estimated an uncertain median occupancy trend of 3.3% [95% CL -15.21%, 26.09%, (n=8, f=1)] per year from 2013 to 2023"
SD-BCR17: Badlands and Prairies in South Dakota,2009-2023,15,Canyon Wren,-10.629114700000001,-21.92,1.91,0.96888888900000003,113,-13.16909129,-25.62,5.95,0.947058824,27,2009,2023,15,Badlands and Prairies in South Dakota,SD-BCR17,3,-10.63,estimated a decreasing,-13.17,estimated a decreasing,"Badlands and Prairies in South Dakota (SD-BCR17) estimated a decreasing median density population trend of -10.63% [95% CL -21.92%, 1.91%, (n=113, f=0.969)] per year and estimated a decreasing median occupancy trend of -13.17% [95% CL -25.62%, 5.95%, (n=27, f=1)] per year from 2009 to 2023"
NE-BCR18: Shortgrass Prairie Region in Nebraska,2016-2021,6,Cassin's Sparrow,-24.870731020000001,-67.32,32.62,0.83191489399999996,115,0.206074525,-51.21,65,0.51372549,41,2016,2021,6,Shortgrass Prairie Region in Nebraska,NE-BCR18,3,-24.87,estimated an uncertain,0.21,estimated an uncertain,"Shortgrass Prairie Region in Nebraska (NE-BCR18) estimated an uncertain median density population trend of -24.87% [95% CL -67.32%, 32.62%, (n=115, f=0.832)] per year and estimated an uncertain median occupancy trend of 0.21% [95% CL -51.21%, 65%, (n=41, f=1)] per year from 2016 to 2021"
SD-BCR17: Badlands and Prairies in South Dakota,2013-2023,11,Cassin's Vireo,12.434061870000001,-10.58,43.11,0.82799999999999996,5,-1.675226691,-19.61,24.27,0.613924051,5,2013,2023,11,Badlands and Prairies in South Dakota,SD-BCR17,3,12.43,estimated an uncertain,-1.68,estimated an uncertain,"Badlands and Prairies in South Dakota (SD-BCR17) estimated an uncertain median density population trend of 12.43% [95% CL -10.58%, 43.11%, (n=5, f=0.828)] per year and estimated an uncertain median occupancy trend of -1.68% [95% CL -19.61%, 24.27%, (n=5, f=1)] per year from 2013 to 2023"
NE-BCR18: Shortgrass Prairie Region in Nebraska,2016-2021,6,Chestnut-collared Longspur,135.70269579999999,13.78,479.39,0.98945147700000002,75,119.8117408,13.82,426.61,0.984732824,28,2016,2021,6,Shortgrass Prairie Region in Nebraska,NE-BCR18,3,135.7,estimated a increasing,119.81,estimated a increasing,"Shortgrass Prairie Region in Nebraska (NE-BCR18) estimated a increasing median density population trend of 135.7% [95% CL 13.78%, 479.39%, (n=75, f=0.989)] per year and estimated a increasing median occupancy trend of 119.81% [95% CL 13.82%, 426.61%, (n=28, f=1)] per year from 2016 to 2021"
SD-BCR17: Badlands and Prairies in South Dakota,2009-2023,15,Chestnut-collared Longspur,-16.754824030000002,-24.32,-9.32,1,2432,-13.25612583,-19.59,-6.5,1,923,2009,2023,15,Badlands and Prairies in South Dakota,SD-BCR17,3,-16.75,estimated a decreasing,-13.26,estimated a decreasing,"Badlands and Prairies in South Dakota (SD-BCR17) estimated a decreasing median density population trend of -16.75% [95% CL -24.32%, -9.32%, (n=2,432, f=1)] per year and estimated a decreasing median occupancy trend of -13.26% [95% CL -19.59%, -6.5%, (n=923, f=1)] per year from 2009 to 2023"
SD-BCR17: Badlands and Prairies in South Dakota,2009-2023,15,Clay-colored Sparrow,9.6588038540000003,-3.41,22.68,0.89068825900000004,69,8.362504637,-4.54,22.59,0.90212766,56,2009,2023,15,Badlands and Prairies in South Dakota,SD-BCR17,3,9.66,estimated an uncertain,8.36,estimated a increasing,"Badlands and Prairies in South Dakota (SD-BCR17) estimated an uncertain median density population trend of 9.66% [95% CL -3.41%, 22.68%, (n=69, f=0.891)] per year and estimated a increasing median occupancy trend of 8.36% [95% CL -4.54%, 22.59%, (n=56, f=1)] per year from 2009 to 2023"
NE-BCR18: Shortgrass Prairie Region in Nebraska,2016-2021,6,Cedar Waxwing,-45.365288100000001,-63.63,-16.81,1,44,-43.97723714,-60.52,-22.28,1,39,2016,2021,6,Shortgrass Prairie Region in Nebraska,NE-BCR18,3,-45.37,estimated a decreasing,-43.98,estimated a decreasing,"Shortgrass Prairie Region in Nebraska (NE-BCR18) estimated a decreasing median density population trend of -45.37% [95% CL -63.63%, -16.81%, (n=44, f=1)] per year and estimated a decreasing median occupancy trend of -43.98% [95% CL -60.52%, -22.28%, (n=39, f=1)] per year from 2016 to 2021"
SD-BCR17: Badlands and Prairies in South Dakota,2009-2023,15,Cedar Waxwing,18.513076829999999,9,29.54,1,183,15.06297412,6.63,25.81,1,161,2009,2023,15,Badlands and Prairies in South Dakota,SD-BCR17,3,18.51,estimated a increasing,15.06,estimated a increasing,"Badlands and Prairies in South Dakota (SD-BCR17) estimated a increasing median density population trend of 18.51% [95% CL 9%, 29.54%, (n=183, f=1)] per year and estimated a increasing median occupancy trend of 15.06% [95% CL 6.63%, 25.81%, (n=161, f=1)] per year from 2009 to 2023"
NE-BCR18: Shortgrass Prairie Region in Nebraska,2016-2021,6,Chipping Sparrow,2.7489406179999998,-35.35,45.58,0.53,312,9.24071384,-26.98,62.05,0.656666667,226,2016,2021,6,Shortgrass Prairie Region in Nebraska,NE-BCR18,3,2.75,estimated an uncertain,9.24,estimated an uncertain,"Shortgrass Prairie Region in Nebraska (NE-BCR18) estimated an uncertain median density population trend of 2.75% [95% CL -35.35%, 45.58%, (n=312, f=0.53)] per year and estimated an uncertain median occupancy trend of 9.24% [95% CL -26.98%, 62.05%, (n=226, f=1)] per year from 2016 to 2021"
SD-BCR17: Badlands and Prairies in South Dakota,2009-2023,15,Chipping Sparrow,-2.5984884199999998,-8.65,3.31,0.88666666699999996,3823,-0.849647717,-7.05,5.79,0.693333333,2631,2009,2023,15,Badlands and Prairies in South Dakota,SD-BCR17,3,-2.6,estimated an uncertain,-0.85,estimated an uncertain,"Badlands and Prairies in South Dakota (SD-BCR17) estimated an uncertain median density population trend of -2.6% [95% CL -8.65%, 3.31%, (n=3,823, f=0.887)] per year and estimated an uncertain median occupancy trend of -0.85% [95% CL -7.05%, 5.79%, (n=2,631, f=1)] per year from 2009 to 2023"
NE-BCR18: Shortgrass Prairie Region in Nebraska,2016-2021,6,Chimney Swift,-59.679164030000003,-75.04,-39.08,1,18,-60.11940687,-71.51,-40.45,1,17,2016,2021,6,Shortgrass Prairie Region in Nebraska,NE-BCR18,3,-59.68,estimated a decreasing,-60.12,estimated a decreasing,"Shortgrass Prairie Region in Nebraska (NE-BCR18) estimated a decreasing median density population trend of -59.68% [95% CL -75.04%, -39.08%, (n=18, f=1)] per year and estimated a decreasing median occupancy trend of -60.12% [95% CL -71.51%, -40.45%, (n=17, f=1)] per year from 2016 to 2021"
SD-BCR17: Badlands and Prairies in South Dakota,2013-2023,11,Chimney Swift,13.041442590000001,-5.61,36.41,0.89361702099999996,9,7.463937436,-10.63,30.08,0.754,5,2013,2023,11,Badlands and Prairies in South Dakota,SD-BCR17,3,13.04,estimated an uncertain,7.46,estimated an uncertain,"Badlands and Prairies in South Dakota (SD-BCR17) estimated an uncertain median density population trend of 13.04% [95% CL -5.61%, 36.41%, (n=9, f=0.894)] per year and estimated an uncertain median occupancy trend of 7.46% [95% CL -10.63%, 30.08%, (n=5, f=1)] per year from 2013 to 2023"
NE-BCR18: Shortgrass Prairie Region in Nebraska,2016-2021,6,Cinnamon Teal,-11.215841409999999,-58.51,58.51,0.67441860499999995,1,-4.398579837,-57.5,71.19,0.588461538,1,2016,2021,6,Shortgrass Prairie Region in Nebraska,NE-BCR18,3,-11.22,estimated an uncertain,-4.4,estimated an uncertain,"Shortgrass Prairie Region in Nebraska (NE-BCR18) estimated an uncertain median density population trend of -11.22% [95% CL -58.51%, 58.51%, (n=1, f=0.674)] per year and estimated an uncertain median occupancy trend of -4.4% [95% CL -57.5%, 71.19%, (n=1, f=1)] per year from 2016 to 2021"
SD-BCR17: Badlands and Prairies in South Dakota,2009-2023,15,Clark's Nutcracker,-25.408223320000001,-34.12,-15.87,1,37,-26.53021994,-35.6,-16.89,1,17,2009,2023,15,Badlands and Prairies in South Dakota,SD-BCR17,3,-25.41,estimated a decreasing,-26.53,estimated a decreasing,"Badlands and Prairies in South Dakota (SD-BCR17) estimated a decreasing median density population trend of -25.41% [95% CL -34.12%, -15.87%, (n=37, f=1)] per year and estimated a decreasing median occupancy trend of -26.53% [95% CL -35.6%, -16.89%, (n=17, f=1)] per year from 2009 to 2023"
NE-BCR18: Shortgrass Prairie Region in Nebraska,2016-2021,6,Cliff Swallow,-14.57371908,-43.91,28.31,0.80038022799999997,403,-13.83243374,-44.34,31.12,0.757575758,215,2016,2021,6,Shortgrass Prairie Region in Nebraska,NE-BCR18,3,-14.57,estimated an uncertain,-13.83,estimated an uncertain,"Shortgrass Prairie Region in Nebraska (NE-BCR18) estimated an uncertain median density population trend of -14.57% [95% CL -43.91%, 28.31%, (n=403, f=0.8)] per year and estimated an uncertain median occupancy trend of -13.83% [95% CL -44.34%, 31.12%, (n=215, f=1)] per year from 2016 to 2021"
SD-BCR17: Badlands and Prairies in South Dakota,2009-2023,15,Cliff Swallow,0.70190243100000005,-10.29,12.28,0.51330798499999997,879,0.909511724,-8.24,10.38,0.507575758,494,2009,2023,15,Badlands and Prairies in South Dakota,SD-BCR17,3,0.7,estimated an uncertain,0.91,estimated an uncertain,"Badlands and Prairies in South Dakota (SD-BCR17) estimated an uncertain median density population trend of 0.7% [95% CL -10.29%, 12.28%, (n=879, f=0.513)] per year and estimated an uncertain median occupancy trend of 0.91% [95% CL -8.24%, 10.38%, (n=494, f=1)] per year from 2009 to 2023"
SD-BCR17: Badlands and Prairies in South Dakota,2013-2023,11,Common Goldeneye,NA,NA,NA,NA,4,4.580998659,-20.19,35,0.588235294,3,2013,2023,11,Badlands and Prairies in South Dakota,SD-BCR17,3,NA,estimated an uncertain,4.58,estimated an uncertain,"Badlands and Prairies in South Dakota (SD-BCR17) estimated an uncertain median density population trend of NA% [95% CL NA%, NA%, (n=4, f=NA)] per year and estimated an uncertain median occupancy trend of 4.58% [95% CL -20.19%, 35%, (n=3, f=1)] per year from 2013 to 2023"
NE-BCR18: Shortgrass Prairie Region in Nebraska,2016-2021,6,Common Grackle,20.061513420000001,-16.53,64.97,0.80181818199999999,598,20.13487375,-16.43,58.84,0.815384615,237,2016,2021,6,Shortgrass Prairie Region in Nebraska,NE-BCR18,3,20.06,estimated an uncertain,20.13,estimated an uncertain,"Shortgrass Prairie Region in Nebraska (NE-BCR18) estimated an uncertain median density population trend of 20.06% [95% CL -16.53%, 64.97%, (n=598, f=0.802)] per year and estimated an uncertain median occupancy trend of 20.13% [95% CL -16.43%, 58.84%, (n=237, f=1)] per year from 2016 to 2021"
SD-BCR17: Badlands and Prairies in South Dakota,2009-2023,15,Common Grackle,2.9130250769999999,-6,12.75,0.66181818199999998,329,5.949360372,-2.63,15.57,0.892307692,204,2009,2023,15,Badlands and Prairies in South Dakota,SD-BCR17,3,2.91,estimated an uncertain,5.95,estimated an uncertain,"Badlands and Prairies in South Dakota (SD-BCR17) estimated an uncertain median density population trend of 2.91% [95% CL -6%, 12.75%, (n=329, f=0.662)] per year and estimated an uncertain median occupancy trend of 5.95% [95% CL -2.63%, 15.57%, (n=204, f=1)] per year from 2009 to 2023"
NE-BCR18: Shortgrass Prairie Region in Nebraska,2016-2021,6,Cooper's Hawk,-62.847502089999999,-74.18,-49.82,1,3,-63.08295538,-74.67,-50.87,1,3,2016,2021,6,Shortgrass Prairie Region in Nebraska,NE-BCR18,3,-62.85,estimated a decreasing,-63.08,estimated a decreasing,"Shortgrass Prairie Region in Nebraska (NE-BCR18) estimated a decreasing median density population trend of -62.85% [95% CL -74.18%, -49.82%, (n=3, f=1)] per year and estimated a decreasing median occupancy trend of -63.08% [95% CL -74.67%, -50.87%, (n=3, f=1)] per year from 2016 to 2021"
SD-BCR17: Badlands and Prairies in South Dakota,2009-2023,15,Cooper's Hawk,-4.119930847,-11.18,6.97,0.87547169800000002,19,-4.413256156,-10.95,7.33,0.880566802,21,2009,2023,15,Badlands and Prairies in South Dakota,SD-BCR17,3,-4.12,estimated an uncertain,-4.41,estimated an uncertain,"Badlands and Prairies in South Dakota (SD-BCR17) estimated an uncertain median density population trend of -4.12% [95% CL -11.18%, 6.97%, (n=19, f=0.875)] per year and estimated an uncertain median occupancy trend of -4.41% [95% CL -10.95%, 7.33%, (n=21, f=1)] per year from 2009 to 2023"
NE-BCR18: Shortgrass Prairie Region in Nebraska,2016-2021,6,Common Nighthawk,-63.500402710000003,-72.21,-52.5,1,195,-64.70205255,-74.02,-54.66,1,56,2016,2021,6,Shortgrass Prairie Region in Nebraska,NE-BCR18,3,-63.5,estimated a decreasing,-64.7,estimated a decreasing,"Shortgrass Prairie Region in Nebraska (NE-BCR18) estimated a decreasing median density population trend of -63.5% [95% CL -72.21%, -52.5%, (n=195, f=1)] per year and estimated a decreasing median occupancy trend of -64.7% [95% CL -74.02%, -54.66%, (n=56, f=1)] per year from 2016 to 2021"
SD-BCR17: Badlands and Prairies in South Dakota,2009-2023,15,Common Nighthawk,7.492205663,-0.51,17.49,0.93829787200000003,739,3.756990702,-4.63,12.13,0.780851064,302,2009,2023,15,Badlands and Prairies in South Dakota,SD-BCR17,3,7.49,estimated a increasing,3.76,estimated an uncertain,"Badlands and Prairies in South Dakota (SD-BCR17) estimated a increasing median density population trend of 7.49% [95% CL -0.51%, 17.49%, (n=739, f=0.938)] per year and estimated an uncertain median occupancy trend of 3.76% [95% CL -4.63%, 12.13%, (n=302, f=1)] per year from 2009 to 2023"
NE-BCR18: Shortgrass Prairie Region in Nebraska,2016-2021,6,Common Poorwill,-79.32566482,-89.25,-66.69,1,4,-77.78732405,-89.92,-63.36,1,2,2016,2021,6,Shortgrass Prairie Region in Nebraska,NE-BCR18,3,-79.33,estimated a decreasing,-77.79,estimated a decreasing,"Shortgrass Prairie Region in Nebraska (NE-BCR18) estimated a decreasing median density population trend of -79.33% [95% CL -89.25%, -66.69%, (n=4, f=1)] per year and estimated a decreasing median occupancy trend of -77.79% [95% CL -89.92%, -63.36%, (n=2, f=1)] per year from 2016 to 2021"
SD-BCR17: Badlands and Prairies in South Dakota,2013-2023,11,Common Poorwill,-9.3488800399999992,-22.46,4.65,0.93703703699999996,6,-10.00281061,-22.44,4.06,0.928015564,4,2013,2023,11,Badlands and Prairies in South Dakota,SD-BCR17,3,-9.35,estimated a decreasing,-10,estimated a decreasing,"Badlands and Prairies in South Dakota (SD-BCR17) estimated a decreasing median density population trend of -9.35% [95% CL -22.46%, 4.65%, (n=6, f=0.937)] per year and estimated a decreasing median occupancy trend of -10% [95% CL -22.44%, 4.06%, (n=4, f=1)] per year from 2013 to 2023"
NE-BCR18: Shortgrass Prairie Region in Nebraska,2016-2021,6,Common Yellowthroat,17.352126760000001,-28.48,93.77,0.74727272700000003,453,39.39965555,-16.81,121.92,0.9,162,2016,2021,6,Shortgrass Prairie Region in Nebraska,NE-BCR18,3,17.35,estimated an uncertain,39.4,estimated a increasing,"Shortgrass Prairie Region in Nebraska (NE-BCR18) estimated an uncertain median density population trend of 17.35% [95% CL -28.48%, 93.77%, (n=453, f=0.747)] per year and estimated a increasing median occupancy trend of 39.4% [95% CL -16.81%, 121.92%, (n=162, f=1)] per year from 2016 to 2021"
SD-BCR17: Badlands and Prairies in South Dakota,2009-2023,15,Common Yellowthroat,4.9312360799999997,-5.88,15.67,0.78363636400000003,272,9.107360319,-2.16,21.59,0.925,156,2009,2023,15,Badlands and Prairies in South Dakota,SD-BCR17,3,4.93,estimated an uncertain,9.11,estimated a increasing,"Badlands and Prairies in South Dakota (SD-BCR17) estimated an uncertain median density population trend of 4.93% [95% CL -5.88%, 15.67%, (n=272, f=0.784)] per year and estimated a increasing median occupancy trend of 9.11% [95% CL -2.16%, 21.59%, (n=156, f=1)] per year from 2009 to 2023"
SD-BCR17: Badlands and Prairies in South Dakota,2009-2023,15,Double-crested Cormorant,58.040741240000003,32.37,90.84,1,10,52.77857649,32.09,78.8,1,7,2009,2023,15,Badlands and Prairies in South Dakota,SD-BCR17,3,58.04,estimated a increasing,52.78,estimated a increasing,"Badlands and Prairies in South Dakota (SD-BCR17) estimated a increasing median density population trend of 58.04% [95% CL 32.37%, 90.84%, (n=10, f=1)] per year and estimated a increasing median occupancy trend of 52.78% [95% CL 32.09%, 78.8%, (n=7, f=1)] per year from 2009 to 2023"
NE-BCR18: Shortgrass Prairie Region in Nebraska,2016-2021,6,Dark-eyed Junco,6.5221669469999997,-43.09,127.27,0.56666666700000001,12,28.2584851,-36.55,155.38,0.778181818,8,2016,2021,6,Shortgrass Prairie Region in Nebraska,NE-BCR18,3,6.52,estimated an uncertain,28.26,estimated an uncertain,"Shortgrass Prairie Region in Nebraska (NE-BCR18) estimated an uncertain median density population trend of 6.52% [95% CL -43.09%, 127.27%, (n=12, f=0.567)] per year and estimated an uncertain median occupancy trend of 28.26% [95% CL -36.55%, 155.38%, (n=8, f=1)] per year from 2016 to 2021"
SD-BCR17: Badlands and Prairies in South Dakota,2009-2023,15,Dark-eyed Junco,-3.2209140810000001,-6.59,-0.22,0.99333333300000004,2447,1.786340569,-1.76,4.86,0.696363636,1815,2009,2023,15,Badlands and Prairies in South Dakota,SD-BCR17,3,-3.22,estimated a decreasing,1.79,estimated an uncertain,"Badlands and Prairies in South Dakota (SD-BCR17) estimated a decreasing median density population trend of -3.22% [95% CL -6.59%, -0.22%, (n=2,447, f=0.993)] per year and estimated an uncertain median occupancy trend of 1.79% [95% CL -1.76%, 4.86%, (n=1,815, f=1)] per year from 2009 to 2023"
NE-BCR18: Shortgrass Prairie Region in Nebraska,2016-2021,6,Dickcissel,66.42399648,5.21,137.3,0.98599999999999999,508,65.01163852,13.72,142.35,0.998076923,177,2016,2021,6,Shortgrass Prairie Region in Nebraska,NE-BCR18,3,66.42,estimated a increasing,65.01,estimated a increasing,"Shortgrass Prairie Region in Nebraska (NE-BCR18) estimated a increasing median density population trend of 66.42% [95% CL 5.21%, 137.3%, (n=508, f=0.986)] per year and estimated a increasing median occupancy trend of 65.01% [95% CL 13.72%, 142.35%, (n=177, f=1)] per year from 2016 to 2021"
SD-BCR17: Badlands and Prairies in South Dakota,2009-2023,15,Dickcissel,25.009254330000001,8.69,40,0.99399999999999999,606,16.48541438,4.49,32.38,0.996153846,256,2009,2023,15,Badlands and Prairies in South Dakota,SD-BCR17,3,25.01,estimated a increasing,16.49,estimated a increasing,"Badlands and Prairies in South Dakota (SD-BCR17) estimated a increasing median density population trend of 25.01% [95% CL 8.69%, 40%, (n=606, f=0.994)] per year and estimated a increasing median occupancy trend of 16.49% [95% CL 4.49%, 32.38%, (n=256, f=1)] per year from 2009 to 2023"
NE-BCR18: Shortgrass Prairie Region in Nebraska,2016-2021,6,Downy Woodpecker,-45.164837040000002,-62.74,-19.55,0.99803921600000001,29,-45.92736841,-61.76,-26.6,1,23,2016,2021,6,Shortgrass Prairie Region in Nebraska,NE-BCR18,3,-45.16,estimated a decreasing,-45.93,estimated a decreasing,"Shortgrass Prairie Region in Nebraska (NE-BCR18) estimated a decreasing median density population trend of -45.16% [95% CL -62.74%, -19.55%, (n=29, f=0.998)] per year and estimated a decreasing median occupancy trend of -45.93% [95% CL -61.76%, -26.6%, (n=23, f=1)] per year from 2016 to 2021"
SD-BCR17: Badlands and Prairies in South Dakota,2009-2023,15,Downy Woodpecker,6.2035559310000004,-2.6,16.14,0.87058823500000004,152,8.152986531,-0.64,17.1,0.955555556,136,2009,2023,15,Badlands and Prairies in South Dakota,SD-BCR17,3,6.2,estimated an uncertain,8.15,estimated a increasing,"Badlands and Prairies in South Dakota (SD-BCR17) estimated an uncertain median density population trend of 6.2% [95% CL -2.6%, 16.14%, (n=152, f=0.871)] per year and estimated a increasing median occupancy trend of 8.15% [95% CL -0.64%, 17.1%, (n=136, f=1)] per year from 2009 to 2023"
NE-BCR18: Shortgrass Prairie Region in Nebraska,2016-2021,6,Dusky Flycatcher,-3.6984957469999999,-34,52.51,0.59056603799999996,2,-11.27493211,-42.16,37.53,0.725738397,2,2016,2021,6,Shortgrass Prairie Region in Nebraska,NE-BCR18,3,-3.7,estimated an uncertain,-11.27,estimated an uncertain,"Shortgrass Prairie Region in Nebraska (NE-BCR18) estimated an uncertain median density population trend of -3.7% [95% CL -34%, 52.51%, (n=2, f=0.591)] per year and estimated an uncertain median occupancy trend of -11.27% [95% CL -42.16%, 37.53%, (n=2, f=1)] per year from 2016 to 2021"
SD-BCR17: Badlands and Prairies in South Dakota,2009-2023,15,Dusky Flycatcher,-18.083618640000001,-23.82,-12.02,1,739,-17.55130369,-22.23,-12.78,1,644,2009,2023,15,Badlands and Prairies in South Dakota,SD-BCR17,3,-18.08,estimated a decreasing,-17.55,estimated a decreasing,"Badlands and Prairies in South Dakota (SD-BCR17) estimated a decreasing median density population trend of -18.08% [95% CL -23.82%, -12.02%, (n=739, f=1)] per year and estimated a decreasing median occupancy trend of -17.55% [95% CL -22.23%, -12.78%, (n=644, f=1)] per year from 2009 to 2023"
NE-BCR18: Shortgrass Prairie Region in Nebraska,2016-2021,6,Eastern Bluebird,-64.828478450000006,-78.16,-50.7,1,148,-62.84919566,-75.22,-49.12,1,85,2016,2021,6,Shortgrass Prairie Region in Nebraska,NE-BCR18,3,-64.83,estimated a decreasing,-62.85,estimated a decreasing,"Shortgrass Prairie Region in Nebraska (NE-BCR18) estimated a decreasing median density population trend of -64.83% [95% CL -78.16%, -50.7%, (n=148, f=1)] per year and estimated a decreasing median occupancy trend of -62.85% [95% CL -75.22%, -49.12%, (n=85, f=1)] per year from 2016 to 2021"
SD-BCR17: Badlands and Prairies in South Dakota,2009-2023,15,Eastern Bluebird,4.5050005659999997,-7.8,18.91,0.68269230800000003,204,2.561037887,-9.73,16.21,0.58,116,2009,2023,15,Badlands and Prairies in South Dakota,SD-BCR17,3,4.51,estimated an uncertain,2.56,estimated an uncertain,"Badlands and Prairies in South Dakota (SD-BCR17) estimated an uncertain median density population trend of 4.51% [95% CL -7.8%, 18.91%, (n=204, f=0.683)] per year and estimated an uncertain median occupancy trend of 2.56% [95% CL -9.73%, 16.21%, (n=116, f=1)] per year from 2009 to 2023"
SD-BCR17: Badlands and Prairies in South Dakota,2009-2023,15,Eared Grebe,-15.071167539999999,-27.3,-3.85,0.99,5,-14.11715388,-25.51,-2.05,0.995744681,4,2009,2023,15,Badlands and Prairies in South Dakota,SD-BCR17,3,-15.07,estimated a decreasing,-14.12,estimated a decreasing,"Badlands and Prairies in South Dakota (SD-BCR17) estimated a decreasing median density population trend of -15.07% [95% CL -27.3%, -3.85%, (n=5, f=0.99)] per year and estimated a decreasing median occupancy trend of -14.12% [95% CL -25.51%, -2.05%, (n=4, f=1)] per year from 2009 to 2023"
NE-BCR18: Shortgrass Prairie Region in Nebraska,2016-2021,6,Eastern Kingbird,3.8942524139999999,-25.49,43.36,0.56346153799999998,449,5.970489806,-23.04,41.32,0.610638298,306,2016,2021,6,Shortgrass Prairie Region in Nebraska,NE-BCR18,3,3.89,estimated an uncertain,5.97,estimated an uncertain,"Shortgrass Prairie Region in Nebraska (NE-BCR18) estimated an uncertain median density population trend of 3.89% [95% CL -25.49%, 43.36%, (n=449, f=0.563)] per year and estimated an uncertain median occupancy trend of 5.97% [95% CL -23.04%, 41.32%, (n=306, f=1)] per year from 2016 to 2021"
SD-BCR17: Badlands and Prairies in South Dakota,2009-2023,15,Eastern Kingbird,6.1722932779999997,-0.64,13.28,0.92115384600000005,610,5.751888947,-1.19,13.32,0.874468085,428,2009,2023,15,Badlands and Prairies in South Dakota,SD-BCR17,3,6.17,estimated a increasing,5.75,estimated an uncertain,"Badlands and Prairies in South Dakota (SD-BCR17) estimated a increasing median density population trend of 6.17% [95% CL -0.64%, 13.28%, (n=610, f=0.921)] per year and estimated an uncertain median occupancy trend of 5.75% [95% CL -1.19%, 13.32%, (n=428, f=1)] per year from 2009 to 2023"
NE-BCR18: Shortgrass Prairie Region in Nebraska,2016-2021,6,Eastern Meadowlark,140.69454160000001,40.65,323.15,0.99666666699999995,22,163.0361953,60.54,365.42,1,5,2016,2021,6,Shortgrass Prairie Region in Nebraska,NE-BCR18,3,140.69,estimated a increasing,163.04,estimated a increasing,"Shortgrass Prairie Region in Nebraska (NE-BCR18) estimated a increasing median density population trend of 140.69% [95% CL 40.65%, 323.15%, (n=22, f=0.997)] per year and estimated a increasing median occupancy trend of 163.04% [95% CL 60.54%, 365.42%, (n=5, f=1)] per year from 2016 to 2021"
